PDB codes,VDWAALS 1,EEL 1,EGB 1,ESURF 1,GGAS 1,GSOLV 1,TOTAL 1,VDWAALS 2,EEL 2,EGB 2,ESURF 2,GGAS 2,GSOLV 2,TOTAL 2,Output
"2leb , 1rkj",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"2leb , 1s03",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"2leb , 1s40",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"2leb , 1u63",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"2leb , 1u6p",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"2leb , 1wwd",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,0
"2leb , 1wwe",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"2leb , 1wwf",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"2leb , 1wwg",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"2leb , 1zzi",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"2leb , 2b6g",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"2leb , 2err",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"2leb , 2gkd",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"2leb , 2glo",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"2leb , 2kh9",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"2leb , 2l41",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"2leb , 2lec",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"2leb , 2mki",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"2leb , 2mkk",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"2leb , 3moj",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"2leb , 3rn2",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"2leb , 4hid",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"2leb , 4hik",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"2leb , 4him",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"2leb , 4hio",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"2leb , 4hj7",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"2leb , 4hj8",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"2leb , 4pdb",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"2leb , 5wwe",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"2leb , 5wwg",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"2leb , 5wzg",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"2leb , 5wzj",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"2leb , 5wzk",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"2leb , 5z6z",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"2leb , 6eo6",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"2leb , 6eo7",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"2leb , 5ytx",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"2leb , 5ytv",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"2leb , 5ytt",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"2leb , 5yts",-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"2lec , 1exd",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"2lec , 1il2",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"2lec , 1jbr",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"2lec , 1je8",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"2lec , 1omh",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"2lec , 1osb",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"2lec , 1rkj",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"2lec , 1s03",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"2lec , 1s40",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"2lec , 1u63",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"2lec , 1u6p",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"2lec , 1wwd",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"2lec , 1wwe",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"2lec , 1wwf",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"2lec , 1wwg",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"2lec , 1zzi",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"2lec , 2b6g",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"2lec , 2err",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"2lec , 2gkd",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"2lec , 2glo",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"2lec , 2kh9",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"2lec , 2l41",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"2lec , 2leb",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"2lec , 2mki",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"2lec , 2mkk",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"2lec , 3moj",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"2lec , 3rn2",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"2lec , 4hid",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"2lec , 4hik",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"2lec , 4him",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"2lec , 4hio",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"2lec , 4hj7",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"2lec , 4hj8",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"2lec , 4pdb",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"2lec , 5wwe",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"2lec , 5wwg",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"2lec , 5wzg",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"2lec , 5wzj",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"2lec , 5wzk",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"2lec , 5z6z",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"2lec , 6eo6",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"2lec , 6eo7",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"2lec , 5ytx",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"2lec , 5ytv",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"2lec , 5ytt",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"2lec , 5yts",-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"2mki , 1exd",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"2mki , 1il2",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,0
"2mki , 1jbr",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,0
"2mki , 1je8",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"2mki , 1omh",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"2mki , 1osb",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"2mki , 1rkj",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,0
"2mki , 1s03",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"2mki , 1s40",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"2mki , 1u63",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"2mki , 1u6p",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"2mki , 1wwd",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,0
"2mki , 1wwe",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"2mki , 1wwf",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"2mki , 1wwg",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"2mki , 1zzi",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,0
"2mki , 2b6g",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"2mki , 2err",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"2mki , 2gkd",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,0
"2mki , 2glo",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"2mki , 2kh9",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"2mki , 2l41",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"2mki , 2leb",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,0
"2mki , 2lec",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"2mki , 2mkk",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,0
"2mki , 3moj",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"2mki , 3rn2",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"2mki , 4hid",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,0
"2mki , 4hik",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"2mki , 4him",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"2mki , 4hio",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"2mki , 4hj7",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"2mki , 4hj8",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"2mki , 4pdb",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"2mki , 5wwe",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,0
"2mki , 5wwg",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"2mki , 5wzg",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"2mki , 5wzj",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"2mki , 5wzk",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"2mki , 5z6z",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"2mki , 6eo6",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"2mki , 6eo7",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"2mki , 5ytx",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,0
"2mki , 5ytv",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,0
"2mki , 5ytt",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,0
"2mki , 5yts",-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,0
"2mkk , 1exd",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"2mkk , 1il2",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"2mkk , 1jbr",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,0
"2mkk , 1je8",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"2mkk , 1omh",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"2mkk , 1osb",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"2mkk , 1rkj",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,0
"2mkk , 1s03",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"2mkk , 1s40",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"2mkk , 1u63",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"2mkk , 1u6p",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"2mkk , 1wwd",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,0
"2mkk , 1wwe",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"2mkk , 1wwf",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"2mkk , 1wwg",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"2mkk , 1zzi",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"2mkk , 2b6g",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"2mkk , 2err",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"2mkk , 2gkd",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"2mkk , 2glo",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"2mkk , 2kh9",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"2mkk , 2l41",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"2mkk , 2leb",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,0
"2mkk , 2lec",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"2mkk , 2mki",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"2mkk , 3moj",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"2mkk , 3rn2",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"2mkk , 4hid",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,0
"2mkk , 4hik",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"2mkk , 4him",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"2mkk , 4hio",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"2mkk , 4hj7",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"2mkk , 4hj8",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"2mkk , 4pdb",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"2mkk , 5wwe",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,0
"2mkk , 5wwg",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"2mkk , 5wzg",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"2mkk , 5wzj",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"2mkk , 5wzk",-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
